timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734671539832,340,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-1,text,false,,899,641,5,5,https://staging.api.tevaera.com/graphql,340,0,227
1734671539943,340,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-5,text,false,,899,641,5,5,https://staging.api.tevaera.com/graphql,340,0,226
1734671539950,342,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-4,text,false,,899,641,5,5,https://staging.api.tevaera.com/graphql,341,0,226
1734671539988,342,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-2,text,false,,899,641,5,5,https://staging.api.tevaera.com/graphql,342,0,227
1734671539993,338,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-3,text,false,,899,641,5,5,https://staging.api.tevaera.com/graphql,338,0,224
1734671540172,346,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-1,text,false,,899,764,5,5,https://staging.api.tevaera.com/graphql,346,0,232
1734671540283,351,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-5,text,false,,899,764,5,5,https://staging.api.tevaera.com/graphql,351,0,237
1734671540293,342,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-4,text,false,,899,764,5,5,https://staging.api.tevaera.com/graphql,341,0,228
1734671540330,341,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-2,text,false,,899,764,5,5,https://staging.api.tevaera.com/graphql,341,0,227
1734671540334,343,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-3,text,false,,899,764,5,5,https://staging.api.tevaera.com/graphql,342,0,226
1734671540519,351,Graphql HTTP Request,200,OK,setUp Thread Group 1-1,text,true,,7862,276,5,5,https://staging.api.tevaera.com/graphql,351,0,226
1734671540636,349,Graphql HTTP Request,200,OK,setUp Thread Group 1-4,text,true,,7862,276,5,5,https://staging.api.tevaera.com/graphql,349,0,226
1734671540634,354,Graphql HTTP Request,200,OK,setUp Thread Group 1-5,text,true,,7862,276,5,5,https://staging.api.tevaera.com/graphql,353,0,230
1734671540672,347,Graphql HTTP Request,200,OK,setUp Thread Group 1-2,text,true,,7862,276,5,5,https://staging.api.tevaera.com/graphql,347,0,227
1734671540677,342,Graphql HTTP Request,200,OK,setUp Thread Group 1-3,text,true,,7862,276,5,5,https://staging.api.tevaera.com/graphql,342,0,226
1734671540871,346,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-1,text,false,,875,778,5,5,https://staging.api.tevaera.com/graphql,346,0,226
1734671540986,349,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-4,text,false,,875,778,5,5,https://staging.api.tevaera.com/graphql,349,0,228
1734671540988,349,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-5,text,false,,875,778,5,5,https://staging.api.tevaera.com/graphql,349,0,227
